	aspect term	text
1385	;warranty period	Summary: They played games with me for the warranty period.
1386	;hd;drivers;windows update	In November my computer messed up entirely and wouldn't power on after intalling a Windows update, I had to have my HD flashed and lost EVERYTHING on it, including my school assignments and irriplaceable pictures that were only in digital format and several other things, when this update was installed for some reason I was unable to roll back the drivers and everything to an earlier working condition because when the update was installed it deleted my history.
1387	;osx;windows xp	I can have both OSX and Windows XP running at the same time!
1388	;features;performance;battery life;price;value	Overall : Poor, Features: Average, Performance: Poor, Battery Life: Excellent, Price-Value: Poor
1389	;windows	Microsoft seems to be unable to keep up with repairs for the multitude of windows problems.
1390	;graphics	The graphics are stunning.
1391	;system	(I found a 2GB stick for a bit under $50) Nice and portable and definitely a decent enough system to keep you entertained while sitting in the airplane for a couple of hours, or at the hotel taking care of some last minute details and documents.
1392	;wifi	after much effort and 10 days ASUS replaced itThe WiFi is very weak.
1393	;software	You can call HP and they want you to buy more software to fix it.
1394	;update programs;navigate	It is easy to navigate and update programs.
1395	;applications;ms applications	, Applications respond immediately (not like the tired MS applications).
1396	;customer service	All in all, a very disappointing experience except that I learned how good the Geek Squad is and also Customer Service.
1397	;screen	The only drawback for me is how dirty the screen gets, and rather quickly too.
1398	;carry;weight	The laptop is very lightweight, can easily carry around in a knapsack full of text books and it barely adds any weight.
1399	;applications;programs;internet tabs	Seems to slow down occassionally but can run many applications (ie Internet tabs, programs, etc) simultaneously.
1400	;noises;bottom of the computer	I also did not like the loud noises it made or how the bottom of the computer would get really hot.
1401	;repair technician	I had in the past a Dell laptop and they sent me the items it needed or they sent a repair technician to my house to fix it.
1402	;software	defective software.
1403	;carry;handle	This computer was so challenging to carry and handle.
1404	;cords;power;headphones;mic;network connection;setup;cords;cords	Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.
1405	;power supply	Unless you want to be inconvenienced with a non working power supply which you can't find a replacement for because they made the attachment so small.
1406	;core2 quad	It is much faster than my desktop which is a Core2 Quad running at 2.83 GHz.
1407	;battery life	It is good to know that I can mobilize without having to worry about the battery life.
1408	;screen	The screen is nice, side view angles are pretty good.
1409	;screen;screen	The fact that the screen reacts to the lighting around you is an added luxury-when you are working around others in dark areas and want privacy or don't want to bother them with bright lighting, it is very convenient to have a darker, softer lit screen.
1410	;applications	3 weeks went by and the computer keeps crashing and will not open any applications.
1411	;charger unit	Not to mention sometimes the whole charger unit will decide not to work entirely.
1412	;feel;looks	Looks nice, but has a horribly cheap feel.
1413	;signals;signal	"I have other computers that get strong signals that don't drop in places that this ""net""book loses its signal."
1414	;feel	The feel of this is better than the Toshiba, too.
1415	;quality	I would recommend this laptop to anyone looking to get a new laptop who is willing to spend a little more money to get great quality!
1416	;memory;windows 7 starter;win 7 home;runs	I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.
1417	;drive	I am not sure if it was the drive itself, however;
1418	;edges;incase shells	Also, one of the users mentioned how the edges on the macbook is sharp, if you have money to spend on one of the incase shells, it doesn't seem to be a problem.
1419	;keyboard;weight;use	It is easy to use, its keyboard easily accommodates large hands, and its weight is fantasic.
1420	;shipping;repair center	Called Acer many times, they want me to pay the shipping to ship it to their repair center - I was very disappointed since it is a brand new computer!
1421	;applications	I should have checked this before I installed my applications.
1422	;battery	The battery is really long.
1423	;dvd burner;power supply	Anyway, in early July of this year, the DVD burner stopped working, and the computer stared having issues with power supply.
1424	;case	Had some trouble finding a case that it would fit in.
1425	;keyboard;keyboard functions	This computer that I have has had issues with the keyboard where it lost half the keyboard functions.
1426	;imovie	Comes with iMovie;
1427	;service facility	COMPUTER HAS BEEN AT SERVICE FACILITY MORE THAN IN MY HANDS.
1428	;customer service	When I called Sony the Customer Service was Great.
1429	;warranty	  even though I had the receipt in front of me proving it still had 2 months left on the warranty.
1430	;programs;system;using the internet	It is a much more streamlined system for adding programs, using the internet, and doing other things everyone does on a computer.
1431	;buttons	My computer froze on several occasion, had buttons that randomely would fall off and even had moments when the computer would refuse to turn on at all.
1432	;safe mode	Not even safe mode boots.
1433	;18-inch	This is an over-sized, 18-inch laptop.
1434	;universal charger	I had to pay $100 for a universal charger for this cheap $300 laptop.
1435	;powerpoint	The powerpoint opened seamlessly in the apple and the mac hooked up to the projector so easily it was almost scary.
1436	;desktop background;window's 7 starter;function	1.You can not change your desktop background (window's 7 starter does NOT support that function).
1437	;it support technicians	Took me 11 hours, 3 trips to different FedEx offices, and brutal conversations with 14 of the worse IT support technicians in the world.
1438	;charger;hardware	Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.
1439	;customer service center	As usual at customer service center, she asked me to hold for a moment while she went to the back-office and compare it with other same model netbooks and discussed it with her colleague (I could see them).
1440	;screen	The screen gets smeary and dusty very quickly and it's very noticeable.
1441	;videocard;shaped	Strengths:Well-shaped Weaknesses:A bad videocard!
1442	;satellite card	You can't even get a satellite card which is why I bought to begin with.
1443	;battery life;battery	The battery life, before the battery completely died of course, left much to be desired.
1444	;touchpad	It is a REAL touchpad, not the toy I saw in other brands.
1445	;depot	Long story, but after many calls to various  offices, I was told that no one can override the depot and that managers  don't take phone calls or e/mails.
1446	;price	Price and purpose is awesome!
1447	;zooming	Wonderful zooming.
1448	;screen	The screen is huge and coloful, but no LED backlighting.
1449	;sized	In all honesty, if someone is looking for a quality laptop and willing to pay a little more money for a normal sized laptop than a cheaper and less impressive laptop, then do not buy this computer.
1450	;use	Everything about this computer is easy to use.
1451	;price	  Worse, for the price I could get a *netbook* that outperforms this machine.
1452	;features;power	It had most of the features and all of the power that I wanted to replace my desktop machine.
1453	;keyboard	Keyboard was also very nice and had a solid feel.
1454	;features	It did not have all the features I expected it to have.
1455	;call center	No luck, although I waited for hours on the phone-Visited MacHouse, they stated the their call center is down due to too many phonecalls (difficult to believe).
1456	;backlit keyboard	There is a backlit keyboard which is perfect for typing in the dark.
1457	;memory;battery life	It has a lot of memory and a great battery life.
1458	;service rep;power adapter	I spoke with a service rep at Micro Center and his girlfriend is having the same problem with her power adapter, so it's not just an isolated incident!!!
1459	;program;windows movie maker	I love this program, it is superior to windows movie maker.
1460	;hard drive;antivirus software	He has replaced his hard drive twice and (of course) has had to pay for antivirus software every year.
1461	;design;beauty	This purchase opened me to the world of Macbooks, and I am impressed with the intuition of the design, the beauty of the product, and the excellent technological advances associated with it.
1462	;price	The price is great for this model, I only plan on using it for media in the entertainment room.
1463	;garmin gps software;microsoft office 2003	It seemed to be a very nice laptop except I was not able to load my Garmin GPS software or Microsoft Office 2003.
1464	;keyboard	I've also had to have the keyboard replaced at my expense.
1465	;staff;fan noise	"I had the staff telling me older version did not make the fan noise cause it is a ""different"" computer."
1466	;price	Was very much worth the price i paid.
1467	;warranty	Even out of warranty!
1468	;price	This is a great little computer for the price.
1469	;screen;battery life;storage	Crisp screen, great battery life, and plenty of storage.
1470	;apple associates	All apple associates are always wiling to help you out with anything, no matter when you purchased the computer and how many years passed.
1471	;screen	Also, my sister got the exact same laptop (since they were so cheap) and after 8 months, the screen split in half just from everyday use.
1472	;price	The Toshiba Satellite has been more than I expected for the price.
1473	;mousepad sensitivity	I had to adjust my mousepad sensitivity, because it is very sensitive.
1474	;iwork;ms office;ms office	I wish iWork or MS Office came with the Mac, but MS Office doesn't even come with most pc laptops.
1475	;keyboard	Keyboard is plastic and spongey feeling.
1476	;mac osx;operating system	previous laptops were pc's, still have them, but the mac osx is a clean and smooth operating system.
1477	;keyboard	i also love having the extra calculator number set up on the keyboard which most laptops do not have.
1478	;hinge;motherboard	Because he said that the hinge is under the motherboard and they have to dismantle the whole thing before it can be tightened.
1479	;surfing the web	You can do it all on this bad boy but the main thing this netbook was desinged for was surfing the web and boy o boy does it ever.
1480	;use	I love my Apple, it is quick and easy to use.
1481	;hard drive	With notes saying they replaced the hard drive.
1482	;use	The laptop is relatively simple to use, though I bought  Macs for Dummies,  which is well worth $2
1483	;hdd bay	Can't close the 2nd HDD bay since there are brackets you have to break off (even then, it still doesn't shut) That could be a major flaw for the dual HDD user.
1484	;tutorials	No tutorials on the display.
1485	;leather carrying case;keyboard;mouse	The leather carrying case, keyboard and mouse arrived in two days from Memphis warehouse.
1486	;touch pad	The touch pad is among the best.
1487	;screen	"Thus, when you carry it at a slanted angle, the screen will ""topple"" or ""slide"" down, if you understand what I mean."
1488	;commodity hardwar	It's now all commodity hardware.
1489	;paralles;windows xp professional;windows 7 home premium;windows server enterprise 2003;windows server 2008 enterprise	We also use Paralles so we can run virtual machines of Windows XP Professional, Windows 7 Home Premium, Windows Server Enterprise 2003, and Windows Server 2008 Enterprise.
1490	;repair;repair	How Toshiba handles the repair seems to vary, some folks  indicate that they were charged for even an intial fix, others had the  repair done 5 times.
1491	;operating system	I would like to use a different operating system altogether.
